Dataset,Instance,scenario,monitor,n_days,false_rate,detect_rate,mean_delay
Dethloff,CON3-1,traffic_late,tempo2,15,0.0,1.0,14.0
Dethloff,CON3-1,traffic_late,tempo_flat,15,0.0,1.0,33.2
Dethloff,CON3-1,traffic_late,cusum_cal,15,0.0,1.0,19.0
Dethloff,CON3-1,traffic_late,cusum_match,15,0.0,1.0,30.333333333333332
Dethloff,CON3-1,traffic_late,ph_match,15,0.0,1.0,50.2
Dethloff,CON3-1,traffic_late,esr_match,15,0.0,1.0,15.866666666666667
Dethloff,CON3-1,traffic_late,ecusum_match,15,0.0,1.0,16.0
Dethloff,CON3-1,traffic_late,bonferroni,15,0.0,1.0,18.0
Dethloff,CON3-1,traffic_late,periodic,15,0.0,1.0,34.0
Dethloff,CON3-1,traffic_late,rolling_opt,15,1.0,0.0,
Dethloff,CON3-1,demand_late,tempo2,15,0.0,1.0,43.733333333333334
Dethloff,CON3-1,demand_late,tempo_flat,15,0.0,0.13333333333333333,55.5
Dethloff,CON3-1,demand_late,cusum_cal,15,0.0,1.0,44.0
Dethloff,CON3-1,demand_late,cusum_match,15,0.0,0.5333333333333333,61.875
Dethloff,CON3-1,demand_late,ph_match,15,0.0,0.2,63.0
